Date,Polska,Elżbieta II,Robert Lewandowski,Warszawa,Stany Zjednoczone,Facebook,Jan Paweł II,YouTube,Ukraina,NATO
2016-01,233183,47157,69875,99260,93940,55335,59180,48786,39177,47647
2016-02,195016,39678,83291,87735,82447,53023,68115,51141,37880,44916
2016-03,209555,45842,81844,94866,91367,46824,103562,45776,39830,52708
2016-04,193698,104710,63828,90499,75252,38665,202683,33453,42409,59832
2016-05,204032,54903,104710,105741,79071,34839,132689,32965,50449,60318
2016-06,227095,62270,389942,78392,67072,31660,64714,24374,52618,64984
2016-07,202501,43107,160795,76108,64618,33183,166650,22734,40364,124362
2016-08,191512,26362,56902,79881,65548,34579,61800,24854,43113,17148
2016-09,167929,30164,71367,81736,63816,33808,54472,27901,42034,30602
2016-10,198250,39211,117707,93809,87718,30994,148662,23156,68088,36294
2016-11,232557,119627,139154,101989,155859,29434,85689,25621,61040,46536
2016-12,182331,85695,115849,85678,76476,29791,71360,27441,42472,35164
2017-01,210142,140860,73270,99439,107585,36051,68513,30494,45830,49810
2017-02,187870,120094,90563,100765,81122,27146,63977,28141,50529,45366
2017-03,211211,85296,116063,93804,88438,27677,92251,31417,50328,58257
2017-04,182634,61281,124294,93749,80380,26974,166256,31004,47178,48519
2017-05,189640,75653,90914,108537,75195,29404,126560,34483,51143,60030
2017-06,157351,65395,136084,85052,62610,25873,57731,42353,45012,41139
2017-07,162726,77639,46833,85353,64337,25402,35185,34532,41452,19397
2017-08,166062,60220,64662,85401,61311,25272,36749,35079,41650,16376
2017-09,175672,63538,109269,86646,66270,28729,55505,23694,46233,30460
2017-10,187251,43851,199590,90466,74342,28583,163913,29248,58488,35320
2017-11,186872,78564,127858,94592,79235,35245,82465,30738,54413,37962
2017-12,175300,171392,79845,83281,72450,39311,61665,32180,42385,30978
2018-01,200747,144493,68149,100240,88409,54170,64101,36837,47041,41099
2018-02,186565,97617,71193,86194,74487,36599,60607,32460,46265,36658
2018-03,192500,86240,102109,97591,82385,40766,90366,30090,48382,49748
2018-04,174706,134475,114773,110011,76458,32045,164065,33350,43384,48610
2018-05,185474,375064,87120,126111,70838,47982,146499,31986,50862,53090
2018-06,220070,118184,294973,91566,63460,38012,62797,21959,44384,35142
2018-07,195165,99867,92073,84223,60469,39055,31682,23255,55125,21961
2018-08,167287,68493,50832,99966,60073,45488,40296,23828,44536,16291
2018-09,183876,60403,51237,88299,65453,35100,55367,22244,43689,33119
2018-10,188004,107675,47262,106027,67421,21953,237291,27753,44059,36472
2018-11,230981,86502,54567,119012,84856,29939,90391,37656,90343,50295
2018-12,179724,97699,50585,93693,75814,29217,59615,41524,54744,40230
2019-01,201026,156814,65873,105654,83225,29957,65119,45789,43984,52240
2019-02,176307,95459,65540,90565,71859,27562,60012,48806,38591,54432
2019-03,194837,90494,98947,102188,80807,40133,84507,42353,44278,91190
2019-04,167410,101154,65964,83747,63495,39319,132302,29101,53056,46747
2019-05,202710,140605,70271,110661,83261,49983,146281,37870,48379,87427
2019-06,174664,88963,58821,86842,70234,40354,72968,39371,42899,43001
2019-07,164466,73949,33306,89465,65901,58972,31490,35016,48597,18585
2019-08,170273,73525,59624,98645,64871,42493,50982,39454,46991,16288
2019-09,181596,58771,62254,92508,66457,28144,47591,30839,44081,36019
2019-10,187733,65568,91251,96645,68824,41785,162090,30139,40298,41570
2019-11,189323,199955,112436,99183,75291,49081,69942,36566,44586,37603
2019-12,181043,166970,67521,93635,92889,50138,76857,65985,46750,62983
2020-01,220912,198512,57837,99719,90209,40677,91827,76005,49039,65531
2020-02,179677,96712,58673,92985,75579,35592,73167,63086,40280,38256
2020-03,320607,131951,40869,103387,144141,53380,117105,66765,44920,58045
2020-04,304743,153187,53020,101100,197705,47524,231926,90643,56999,69735
2020-05,233908,85875,79121,115502,122200,54663,583811,89645,62365,83889
2020-06,168797,75402,70438,80648,88170,48454,87788,82854,43237,47599
2020-07,166811,59104,43336,82653,66063,41238,29289,77733,37173,18830
2020-08,193522,67302,164711,88051,61095,34919,37211,80895,64460,18333
2020-09,154390,67736,63081,74202,59284,38993,45377,79023,37324,36847
2020-10,207692,95625,108068,91087,75986,60365,155138,110690,37394,29803
2020-11,245797,631869,92719,105427,181990,75607,123410,148612,40231,42109
2020-12,227166,505906,118128,104092,110990,75808,54128,88725,36750,39151
2021-01,318425,323138,113343,108901,190297,77459,46305,117778,42867,37748
2021-02,226791,199731,80605,95152,107688,57377,50945,93325,39220,45880
2021-03,241431,330514,164205,102013,112760,69406,66875,101811,47966,50003
2021-04,234467,932081,74995,94113,106797,46491,131339,90277,71706,59194
2021-05,212839,118044,178634,96285,81892,31406,107405,75399,51467,54964
2021-06,189202,81910,180380,73337,62089,26447,50927,60791,46474,33125
2021-07,185921,82489,66217,85232,73740,42006,33132,119160,40528,15595
2021-08,219876,72238,65272,92422,88558,45393,42576,142713,42060,22136
2021-09,193127,75262,104327,76751,78353,52177,52380,128290,37762,36952
2021-10,206931,93208,73742,83449,89238,82060,111359,124074,37959,33327
2021-11,261624,107871,122924,92858,100419,56114,70424,108015,69191,116371
2021-12,220780,97380,90886,85407,102371,45397,50759,115302,70731,54398
2022-01,272615,108876,97225,99859,125899,65303,50878,112253,119554,113060
2022-02,361199,160475,56542,98410,127573,51120,43869,96360,1154318,972372
2022-03,412074,71090,83079,112913,140364,45420,57114,112462,969088,598534
2022-04,258238,95350,77178,88903,121321,36525,96838,120289,253972,159151
2022-05,240960,81374,82573,92810,107545,29946,85825,110434,136434,159308
2022-06,187968,136118,78456,68592,94630,26590,45769,93420,78997,84851
2022-07,178354,64773,223046,74840,94210,25382,31598,119204,72646,55483
2022-08,190874,56130,139082,89392,91185,24260,36032,172419,73424,45073
2022-09,219169,2060640,135639,87746,93876,36471,46987,118700,97243,63041
2022-10,209044,115027,111065,94661,103610,61071,123033,226879,98441,75005
2022-11,301867,159108,209447,102030,117793,59306,56473,190823,95267,89045
2022-12,234065,89680,167800,82464,111553,44276,73567,87068,76478,50236
2023-01,221908,78603,75931,92604,115797,30603,89063,105161,94505,65938
2023-02,184395,46833,59033,85150,112917,24233,37443,239947,95856,94958
2023-03,200496,50690,80480,94313,112642,39554,138838,121568,78749,71392
2023-04,181263,54220,100483,89539,99726,93115,117683,81756,72444,147999
2023-05,184364,226682,81142,91897,89359,427223,67159,98835,75745,66604
2023-06,175166,31620,85727,83758,77312,339821,38722,98410,71813,44835
2023-07,179216,26717,47699,85931,77385,397973,32576,258873,79285,63939
2023-08,204056,30496,53590,95018,75489,172648,37248,297866,72778,30796
2023-09,195584,30704,97619,78120,62874,523448,33080,266165,69444,30221
2023-10,211999,26923,54780,90556,67892,685511,88141,132133,57124,42292
2023-11,197511,54409,64149,83091,70533,614469,48008,65758,54571,38274
2023-12,228534,99082,45003,81292,74182,733029,43118,106590,58910,39811
2024-01,216293,70150,64452,102010,95203,669224,40409,194551,66350,63203
2024-02,193562,52402,61663,82826,88952,528551,36964,265949,83926,90209
2024-03,202640,41690,82345,84785,79961,483601,48581,158913,72928,138621
2024-04,187073,33836,61065,85573,69894,494164,65387,124526,63423,54952
2024-05,169997,28177,52064,79172,61270,150056,57673,68545,49146,35567
2024-06,153603,26740,128818,61029,55016,14978,31436,44683,39963,28285
2024-07,150527,34836,53126,63173,65250,13486,25430,33522,40871,27002
2024-08,168438,26276,44379,73212,64530,15012,25649,36442,45606,17161
2024-09,145718,29725,61235,62931,53860,14566,29049,30235,38379,23349
2024-10,150643,27763,108821,67994,64898,18816,72163,29152,37739,30349
2024-11,160870,32114,67974,73271,112110,21018,42707,35610,56244,41073
2024-12,159582,30819,38273,70103,71021,19073,45324,40781,43357,28999
2025-01,178028,34989,61491,73025,289049,21205,40431,48324,46343,34311
2025-02,148583,31270,51636,63397,78397,17605,138596,42740,62364,39475
2025-03,165737,32749,72823,70165,85135,16344,71357,30208,68023,55576
2025-04,135615,29308,67546,62375,60012,9100,437008,21128,33626,21269
2025-05,133860,21985,46764,64344,51377,10469,363414,19904,31570,20840
2025-06,147241,17903,70370,53942,43681,8314,36596,18125,27194,23279
2025-07,122529,25998,28267,53650,42365,10764,20789,26234,27444,12934
2025-08,160222,26678,36894,65070,48436,15700,23621,29609,47655,15642
2025-09,147255,29825,67544,63075,50102,17206,25818,33151,39147,44796
2025-10,130272,28897,51001,67722,50462,28669,50885,36722,31292,17897
2025-11,138419,28915,73655,72766,46635,32731,30332,32568,41082,17506
2025-12,122310,27559,41269,60282,50817,23066,49153,36089,37759,16850
2026-01,153609,29673,54405,64456,80381,26222,29721,33178,32033,30915
2026-02,123101,41238,35546,53183,58326,32916,24882,32355,27524,14583
2026-03,135085,25981,61261,57445,59881,40490,33047,34331,26839,30810
2026-04,121523,29279,70738,57191,49126,44992,54285,36619,23811,22654
2026-05,112034,22758,147137,58417,42180,18369,39667,31410,28485,15531
2026-06,117126,20851,76891,55135,47652,16905,26984,26131,48002,10831
2026-07,119771,20094,95851,55785,50293,17571,22225,27775,44461,12499
2026-08,114632,26023,45376,60035,40987,11814,34905,25233,30015,11416
