title,views,assigned_category
Adam Małysz,3294668,Biografie
Wojciech Jaruzelski,3290495,Biografie
Dancing with the Stars. Taniec z gwiazdami,3289974,Kultura i sztuka
Katowice,3270259,Polska
Powstanie styczniowe,3262835,Historia
Szczecin,3257143,Polska
Magda Gessler,3254532,Biografie
Konfederacja Wolność i Niepodległość,3246321,Społeczeństwo
Dzień Matki,3243125,Społeczeństwo
Joe Biden,3239134,Biografie
Sulejman Wspaniały,3218779,Biografie
Organizacja Narodów Zjednoczonych,3217592,Społeczeństwo
Roman Polański,3207284,Biografie
Grecja,3199711,Geografia
Londyn,3189053,Geografia
Słowacja,3187371,Geografia
Nowa Zelandia,3184387,Geografia
Mieszko I,3177686,Biografie
Wojna secesyjna,3176642,Historia
Lech Kaczyński,3152752,Biografie
Jerzy VI Windsor,3146083,Biografie
Ziemia,3140599,Nauki ścisłe i przyrodnicze
Bydgoszcz,3137703,Polska
Taco Hemingway,3132968,Biografie
Karol (książę Walii),3131700,Biografie
Jezus Chrystus,3125536,Religioznawstwo
Anna Przybylska,3117714,Biografie
III Rzesza,3105980,Historia
Austria,3104130,Geografia
Lista kolorów,3099645,Nauki ścisłe i przyrodnicze
Irlandia,3094427,Geografia
Witold Pilecki,3093868,Biografie
Mariusz Pudzianowski,3084044,Biografie
Julia Wieniawa,3066620,Biografie
FC Barcelona,3058343,Społeczeństwo
Meksyk,3055791,Geografia
Radio Nowy Świat,3051767,Kultura i sztuka
Doda (piosenkarka),3050502,Biografie
Jan Kochanowski,3042749,Biografie
Faszyzm,3029453,Nauki społeczne i humanistyczne
Auschwitz-Birkenau,3020887,Historia
Mołdawia,3011798,Geografia
Olga Tokarczuk,3011580,Biografie
Stanisław August Poniatowski,3011472,Biografie
Wikipedia,3008678,Społeczeństwo
Żydzi,3001252,Społeczeństwo
Wiktoria Hanowerska,2970643,Biografie
Podział administracyjny Polski,2964978,Polska
Winston Churchill,2939542,Biografie
Egipt,2936369,Geografia
Żołnierze wyklęci,2931340,Historia
Morze Bałtyckie,2918037,Geografia
Portugalia,2915013,Geografia
Bolesław I Chrobry,2907235,Biografie
Cezary Pazura,2907185,Biografie
Świadkowie Jehowy,2900013,Religioznawstwo
Południowa Afryka,2896310,Geografia
Krzysztof Krawczyk,2878745,Biografie
Sławomir Mentzen,2860330,Biografie
Jakub Błaszczykowski,2855154,Biografie
Kuba Wojewódzki,2854667,Biografie
Alfabet grecki,2854181,Nauki społeczne i humanistyczne
Nikodem Skotarczak,2849032,Biografie
Henryk VIII Tudor,2846166,Biografie
Paryż,2841582,Geografia
